region,Non-Premature (≥70),Premature (<70),Premature %
Northern Region,788,1584,66.77908937605397
Tabuk,2047,4089,66.63950456323337
Jawf,1360,2686,66.38655462184873
Eastern Region,10593,20611,66.0524291757467
Riyadh,17439,33187,65.55327302176747
Makkah,23815,40375,62.89920548372021
Madinah,5840,9569,62.10007138685184
Hail,2107,3396,61.71179356714519
Jizan,4932,7512,60.36644165863066
Qassim,4030,6104,60.23287941582791
Najran,1557,2248,59.08015768725361
Asir,8221,10350,55.73205535512358
nan,15430,17802,53.568849301877705
Bahah,2135,1899,47.07486365889936
